ISSUER NAME	CLASS TITLE	CUSIP	VALUE ($thousands)	INVESTMENT DISCRETION	SHRS or PRN AMOUNT	SH or PRN	VOTING AUTH SOLE	VOTING AUTH SHARED	VOTING AUTH NONE
Chaparral Energy Inc.	COM CL A	15942R208	6224	DFND	1265064	SH	1265064	0	0
Exela Technologies Inc.	COM	30162V102	1764	DFND	453582	SH	453582	0	0
Goodrich Petroleum Corporation	COM PAR	382410843	20	DFND	1505	SH	1505	0	0
Midstates Petroleum	COM PAR	59804T407	26247	DFND	3494914	SH	3494914	0	0
Pacific Drilling S.A.	COM	L7257P205	67451	DFND	5052505	SH	5052505	0	0
Pacific Drilling S.A.	COM	L7257P205	50138	DFND	3755643	SH	3755643	0	0
Pacific Drilling S.A.	COM	L7257P205	132085	DFND	9894040	SH	9894040	0	0
Roan Resources Inc.	CL A COM	769755109	2132	DFND	254391	SH	254391	0	0
Roan Resources Inc.	CL A COM	769755109	11072	DFND	1321263	SH	1321263	0	0
Ultra Petroleum Corp.	COM NEW	903914208	6761	DFND	8894290	SH	8894290	0	0
Ultra Petroleum Corp.	COM NEW	903914208	2861	DFND	3764285	SH	3764285	0	0
Vistra Energy Corp.	COM	92840M102	124602	DFND	5443499	SH	5443499	0	0
Vistra Energy Corp.	COM	92840M102	22770	DFND	994746	SH	994746	0	0
